,cond,cond,cond,cond,cond,cond,cond,cond,cond
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),97.99098322981787,878.8215533195076,49973.88438017173,36048.85241687018,70502.03062376213,92128.13016062851,236923.32963697173,339652.6406913337,1075297.0170716872
HD-SUT (Eig),6993.165659236141,67977019.03393424,17242702523.24542,401280545205.9324,31996652384811.83,409832398015616.06,2988979849647078.5,9599437037278760.0,4.003913073003812e+16
HD-SUT (Prin),63.18619850290412,133.32626053922905,69.66170044210641,56.71890581761585,48.70148925808397,18.4340806758422,14.156597773673386,9.290650152316513,8.66976843077237
HD-UT (Chol),97.9909832296467,878.8215533183535,49973.884392606924,36048.85241489967,70502.03064043086,92128.13017732748,236923.3296056111,339652.6406496954,1075297.0172689278
HD-UT (Eig),6993.16566528931,67976664.49345501,17233382740.24085,1.9280896265943252e+16,40755581591396.42,3305746935449888.0,3.764578022360982e+16,5.920451826695969e+16,2.6245280060197878e+17
HD-UT (Prin),63.18619850292753,133.3262605392206,69.66170044211204,56.718905817614676,48.70148925808063,18.43408067583696,14.15659777367481,9.290650152314607,8.669768430776655
MC,55.60821926347419,157.71407030750285,176.08778802792904,276.00115161293104,400.25471439205756,526.4600858101835,769.7392920001262,847.4799693707382,1130.6234241909738
SUT (Chol),497085.544690579,4257679.661998631,89952109.67769043,46002619.33013809,34005208.609062396,25281886.261367396,31356066.638212405,24186577.2017682,109919044.13565755
SUT (Eig),72390545.40224853,272278500587.21936,16389947347298.527,181927370577503.25,65643682747338.19,457716984542009.9,,,
SUT (Prin),325578.0942967176,533513.3435175401,293947.71283628885,238624.16509957958,161694.36957243257,70996.70767123783,52223.442091817196,38445.95734865116,32900.49076954603
UT (Chol),483055056.78273743,6040339669.513865,437515256493.3051,210997033317.28094,1518067705341.6428,15641723382286.07,122247219186919.94,408788043556577.56,833159609432634.0
UT (Eig),11552248743.854431,223216919514928.03,2.3854757837391885e+17,2.672675468355949e+18,4.8190162079167264e+17,6.181243371713434e+17,1.266627157416558e+19,9.071937483637097e+18,8.537882815471844e+18
UT (Prin),308563023.47414875,3386485383.382369,3895887130.57659,6610370098.244423,12742964194.862371,15228782448.113012,25390301157.311546,24472030067.443317,34413205130.07287
