,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),0.40185126294774354,31.35725636257538,81.3330633331998,145.16092788848573,302.97321449896725,739.0467712210977,1601.9178295419883,2243.7742232738815,3074.2497996045436
HD-SUT (Eig),0.7871759298824489,8.83966578117108,16.847627034378107,25.666222675243354,38.050259669622065,61.15818306904485,87.13532585546771,106.94780995122404,124.8431127580848
HD-SUT (Prin),0.7406524124181371,35.50575683886043,120.18527194820575,262.5585448654914,571.4692511152452,1449.5823746271958,2978.277116100511,4442.73018787326,5982.236194748577
HD-UT (Chol),0.4018209113554731,31.359628294238394,81.33903883117635,145.1744369925326,303.0018149678293,739.1195321170744,1602.0573335554354,2243.995784001705,3074.5423410913627
HD-UT (Eig),0.7875293548803661,8.84104708328088,16.84988457702862,25.649740796454665,38.05629106177077,61.09906156737151,87.15360665751946,106.96718799288203,124.59642015844133
HD-UT (Prin),0.7414262179561962,35.50831685184201,120.18786463370165,262.56111705331136,571.4719977557153,1449.5849377130646,2978.279696511659,4442.732703698565,5982.238738788591
MC,0.2093358131166586,1.192389844326222,3.2951990272701726,6.413720282242987,13.939358949210568,34.95022948800702,66.90812309043207,94.64619583483064,134.1117763380739
SUT (Chol),3.4887045938094143,30.063860077982945,77.12926556757913,155.02758722916286,318.96984881787546,800.9769911681458,1612.4450584202696,2442.9099786575257,3309.012400484569
SUT (Eig),3.488760276189605,30.07004719067553,77.29245435124109,155.09569627537874,320.7844498405063,814.5018350517093,1752.0634753559054,,
SUT (Prin),3.488658628586846,30.059775027991332,77.09178623742409,154.8234267524765,318.0647733133182,794.9260694362431,1588.9669729805814,2386.203858845716,3208.9450660520315
UT (Chol),6.074752570316876,77.20116954460063,620.123892459002,3215.333299669868,14043.69681702855,90145.4317735927,346552.42139443546,828263.9154062853,1458795.7660349861
UT (Eig),6.153393180211371,197.55666786335902,1547.4511914111738,6547.176479707307,28524.691382521127,177291.61394075915,749171.3018346201,1664810.5239563193,2986468.484508825
UT (Prin),6.6633086256408705,53.887893672932,142.1954816594803,287.22812549499054,632.4043157083636,1541.5696027167266,3452.0933270623646,5697.297427659479,8416.289161723671
