,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),0.5505621554575003,17.924259272988703,37.02136633171968,56.68092439732862,122.78780445518122,268.31624907685443,538.182631126153,732.7386267317685,938.7814611363477
HD-SUT (Eig),0.9289662419965933,1.9986074661783992,2.6473530131660112,2.7211975734467044,2.645956127224824,3.3891514281709783,3.151780294219881,3.248401428583792,3.3269787326035174
HD-SUT (Prin),0.6808275914113657,4.950206218402232,22.721744887426933,46.24412631452894,85.96827404194666,142.63386319345727,223.88579343264084,237.18147269206065,321.11299778619724
HD-UT (Chol),0.5506947005949882,17.924675317072467,37.02082806868976,56.67873594586361,122.78042278206313,268.29587048821594,538.1382705041891,732.6720062724457,938.6924098881644
HD-UT (Eig),0.9288966000810732,1.9982863263643869,2.6478534503398814,2.715887201292452,2.647872848065255,3.4081960424865447,3.098076249102416,3.3338764146998234,3.1640509549900373
HD-UT (Prin),0.6807135480459722,4.951278314516127,22.722928991317726,46.24512664609817,85.96920770712313,142.6343512867375,223.88615539291067,237.18172186126174,321.11324564513666
MC,0.17269334818781018,0.9075980380765001,2.259081885723934,4.055153134566689,7.459453165158232,17.497310687884422,34.03694622840447,46.33468087073885,72.4567432992722
SUT (Chol),1.7844557772368355,6.579588620511126,11.55782953946262,17.368502280437347,23.145760528096897,42.88577007844742,51.28774643385399,75.10370456105649,90.2598145542478
SUT (Eig),1.784480897557161,6.5799475844605,11.574781247711355,17.502388553838752,21.50998432976804,35.674686455109594,,,
SUT (Prin),1.7844590986314366,6.579998619678922,11.563060566416167,17.36673171330799,23.16729512979256,42.90103245775438,51.94465266743519,72.22863655504709,82.48041394466352
UT (Chol),1.4327114481622196,55.77864667088817,306.69966853076,1444.2661091592793,6149.242826758177,31748.42827233908,125014.0690828075,268555.3689717847,478485.67834811367
UT (Eig),1.50784203973702,70.24738916079008,371.45735469706773,1352.9033271949866,4862.812387649271,16481.124042918444,62591.38769659492,94346.71165630758,144227.57846757132
UT (Prin),1.2463731780848675,49.90112100499141,93.50928853374404,158.2548371160866,319.00083833033136,301.76629028703,364.31118458737876,392.0577019611374,454.8075220641208
