,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff,norm_diff
dim_x,2.0,10.0,25.0,50.0,100.0,250.0,500.0,750.0,1000.0
Method,,,,,,,,,
HD-SUT (Chol),0.1628418206338188,0.9687779597451562,1.6138863808439805,2.0172781871312435,3.1054381091227192,4.575171862043981,6.4344012905432235,7.311112254546035,7.993837097871533
HD-SUT (Eig),0.16910414998942563,0.30182054704225575,0.31142736483392963,0.36808216548233597,0.39182917547229185,0.40413160681582605,0.3662555043417083,0.4099080276474005,0.41961398954022927
HD-SUT (Prin),0.13022588941796512,0.25978330638247926,0.3163281615182447,0.6865971552183422,1.0736842565676297,1.4069258970551053,1.6885035528427734,1.5290134642627282,1.8278762528653183
HD-UT (Chol),0.16286144602464206,0.9687857361468398,1.6138530974846712,2.0172083406124663,3.1053183913660476,4.574984501937028,6.434134804284111,7.310795538813137,7.993485991179196
HD-UT (Eig),0.169130450667868,0.3018290236586508,0.3114314812456956,0.3664751075468946,0.3918306632351647,0.4110777485613028,0.3597934629073597,0.4127210037677836,0.43625736900988094
HD-UT (Prin),0.1302270102820962,0.2597362207925049,0.31636051461128883,0.6866264281491653,1.0737045712405648,1.4069348437580134,1.688503870429839,1.5290124894851562,1.8278696516921982
MC,0.022990335717475267,0.044375276529565535,0.07270994449863136,0.10014641427799882,0.12732819085503605,0.19089178942023688,0.26190098339798284,0.2935174843944992,0.4008591960804114
SUT (Chol),1.3781677410807626e-05,0.00033910478032202933,0.0010279995197393285,0.003261918316040129,0.009929133224340105,0.03369203665446163,0.0946217155895322,0.1661949849800641,0.2545207111650832
SUT (Eig),1.7345135353735175e-05,0.0003308033044578706,0.0009094271653552235,0.0021806251438257407,0.0044078463000917206,0.01075389912217126,,,
SUT (Prin),2.059533792959382e-05,0.0002808532667338948,0.0004110504435254657,0.0005957039676339783,0.0009723890679104657,0.0024238464863019756,0.004200060296521502,0.007072267111728156,0.009615880092681894
UT (Chol),0.24603169774902586,1.839109727592355,4.836066095550045,10.926390654555497,23.435688164374767,51.70694811300528,100.93061802502243,144.60720620301814,188.44358334557631
UT (Eig),0.3004617011345263,1.7026511116636418,3.5855180782935006,6.7270078480745275,12.180298900896517,17.677815993939586,33.421739650930306,34.89409049614298,40.29611670358409
UT (Prin),0.1489895203090638,1.6199681835981972,2.1960114340711816,2.69291691845771,3.2978979417564775,5.282619774095307,6.3413842107405545,8.887057255349678,10.748445453728467
